x;y;z
2068;1349;59131
2061;1349;59133
2063;1351;59151
2067;1353;59124
2066;1362;59110
2064;1350;59145
2065;1354;59131
2068;1354;59129
2068;1351;59125
2060;1353;59107
2070;1351;59116
2065;1349;59146
2065;1355;59119
2060;1345;59121
2062;1347;59133
2064;1346;59120
2065;1352;59125
2067;1350;59133
2067;1351;59126
2063;1350;59144
2066;1352;59133
2069;1351;59127
2067;1350;59129
2061;1353;59130
2064;1355;59125
2065;1353;59134
2065;1358;59147
2065;1349;59121
2069;1348;59115
2067;1354;59127
2069;1348;59136
2067;1350;59135
2060;1350;59126
2066;1352;59121
2068;1349;59118
2069;1353;59137
2072;1351;59129
2062;1353;59135
2064;1350;59134
2068;1352;59127
2067;1347;59152
2063;1352;59123
2072;1350;59119
